"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Blautia hydrogenotrophica","Blautia sp. Ser8","Caloramator fervidus","Clostridium botulinum","Clostridium polysaccharolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Escherichia sp. 3_2_53FAA","Eubacterium coprostanoligenes","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Ruminococcus bromii","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","all_others"
639,24,5967,2591,2808,1263,2333,4681,482,235,158,57,265,200,480,5,225,33,230,1615,1085,9206,717,270,368,2625,737,3297,2233,87,6389,468,1010,162,1322,13774
101,49,4015,133,1054,365,739,4407,354,414,304,426,323,4696,390,82,13,742,21,6185,1052,6374,1018,575,230,506,4,1204,3109,658,8368,938,635,236,643,18204
1448,1150,4191,173,1590,798,1547,2481,1382,746,176,1367,251,312,1286,17,116,184,1932,5087,2280,5723,1135,1102,1391,1204,304,2922,2717,142,5220,78,1332,426,1078,16385
42,8,2161,216,2311,10,446,2737,720,334,156,111,359,979,1928,33,30,286,579,4577,2861,1767,793,741,682,8,0,378,3293,702,6081,98,604,745,2715,17277
3469,1518,2903,139,1918,33,475,8129,1291,874,141,802,495,1710,4066,25,51,189,281,7495,2523,5638,1636,1357,707,515,95,9043,3659,383,8263,1116,1432,516,4831,25890
2850,451,2849,3,1791,3,147,11031,851,327,87,291,959,417,1290,11,718,151,32,2129,1177,5834,848,171,647,316,1773,3333,1751,151,3741,25,1302,279,386,10576
6073,4391,2033,1213,3088,72,634,9011,2424,1702,637,222,444,3091,3058,90,348,221,1712,8363,2004,8063,3582,1049,4254,1029,753,6315,10638,2340,17652,998,3961,461,2990,30827
10905,8247,7310,26,5062,2605,1572,10835,1537,1290,126,1140,698,611,4257,3,99,1415,1468,8331,2976,16338,2327,1151,2197,8,683,10574,8107,2830,17083,2190,2019,419,1750,34785
4066,2733,7612,95,0,300,731,1740,817,1032,120,521,4487,1960,2713,173,3219,237,787,8441,3473,2020,1097,876,1,629,1009,34,6025,542,10087,1356,0,0,563,42891
10173,5612,7974,797,0,3,1305,12654,1674,339,842,1007,874,1299,9835,79,851,1319,282,7117,2612,1216,3145,513,0,259,274,1,7797,2603,17423,1392,0,0,6380,29912
7184,4273,151,2,1971,0,109,6275,2,374,42,270,2,273,145,18,1,59,14,3033,742,1072,1289,389,335,632,386,8073,1999,2,3282,176,229,720,60,10934
395,389,3654,44,0,105,62,1317,1066,526,149,369,223,769,3657,72,238,350,164,5413,685,1280,1566,441,3,4,17,107,5354,961,9087,54,0,0,5319,16987
6134,1774,1724,208,1569,69,174,5822,900,404,80,199,567,716,1984,77,304,685,542,5660,2070,3561,1235,234,1738,803,761,4296,2726,456,5583,298,1193,374,547,14068
824,523,2673,63,772,311,171,1764,2110,487,162,847,2240,888,948,5,1036,905,791,7844,2264,6859,2432,1147,995,2,162,1490,6715,833,9317,1976,2364,955,970,20361
1379,1248,13789,377,0,1554,2480,5616,55,1272,58,694,99,125,4871,291,52,27,408,2262,3378,1286,547,774,0,659,408,70,1595,129,9980,4,0,0,831,26885
246,157,1886,355,1640,1761,121,5753,445,793,60,578,117,535,1744,297,42,540,587,4267,1724,4043,489,351,783,135,756,1648,3762,642,6916,1332,951,173,1157,22279
4508,4225,273,66,962,219,8,1999,3092,150,68,287,792,1032,1575,48,725,193,363,4602,872,3603,2204,257,558,988,2,5300,5225,295,7596,427,1872,429,496,10833
3319,3134,3081,1171,1978,518,161,10919,896,3051,381,59,375,159,1900,62,63,545,545,4283,1171,6436,1034,406,1117,1478,1,3613,5375,587,8459,193,2065,616,429,19803
957,951,2710,898,1761,590,502,21037,363,990,92,675,108,215,1746,28,94,133,672,2433,1395,9122,498,888,1113,2393,0,1753,4440,189,8077,944,2717,570,1073,17533
9000,4054,0,2,1953,1,0,12637,1457,1310,102,618,765,199,0,0,308,597,1356,3420,0,5173,1740,291,2668,0,0,8743,0,0,0,585,730,140,175,20864
853,161,4803,392,2409,946,93,5235,182,440,30,641,88,356,813,2628,45,65,1015,1438,1647,7195,210,438,263,1047,380,2031,549,42,2746,297,437,43,828,12270
636,436,733,64,3114,32,86,4090,1070,452,184,181,706,1564,1788,21,415,363,108,5327,761,2158,1178,533,610,12,34,1055,3323,283,6149,383,1731,376,749,20877
831,389,3129,28,0,111,436,503,852,305,119,598,454,923,1989,86,124,343,418,5290,1207,592,1063,166,4,143,221,36,3872,2256,6577,155,0,0,1090,17240
8912,1501,969,437,1579,11,986,8191,873,262,467,752,330,377,365,12,2,1635,52,2762,1293,6620,276,196,1629,156,1036,8534,2573,379,5186,126,1132,208,1699,9021
3507,2316,909,200,1299,385,26,3950,516,524,23,472,978,765,2937,167,339,70,1158,5457,1317,4597,781,527,1034,349,123,3148,2337,1946,8082,236,1214,194,3645,19410
1559,475,1083,265,3952,154,13,14122,340,1206,428,1030,172,387,0,0,187,37,2210,2606,0,5952,941,1293,877,1,652,1714,0,0,0,425,2003,130,483,23490
1438,456,3919,467,1262,353,788,8024,1090,315,208,979,1387,136,609,35,715,91,37,5429,1679,5958,1203,531,221,205,536,3523,1570,322,3584,1409,2043,150,788,17445
4592,4113,7837,1164,2556,26,45,8389,146,856,33,311,88,157,1751,43,97,280,1632,3023,1177,9292,442,497,1505,684,216,4082,1237,291,5564,131,880,686,1863,15422
