"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Prevotella","Propionibacterium","Reinekea","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
2346,11363,2172,2846,278,77,8088,490,3011,3,1910,6768,2364,10,2453,1015,963,525,0,705,9668,194,3224,428,0,0,16233
5222,10627,0,1461,1,144,2255,342,346,60,588,2016,1205,69,370,953,16,552,1,3066,6839,0,281,38,0,0,14660
10330,13245,286,2178,144,2012,2887,1649,0,2,2211,1861,0,140,3543,2648,77,8221,6,0,0,125,2022,314,639,2871,8354
7169,14162,266,1382,58,263,3794,470,2330,356,1629,3311,1484,448,534,1474,302,2205,4,424,5762,41,755,157,0,0,8364
1037,20152,33,1240,84,49,3676,240,715,541,1121,3699,2586,154,1113,1122,196,3348,13,167,3080,591,7665,90,0,0,5782
11274,44364,377,484,62,313,3001,914,0,89,357,920,0,4,7486,1905,9,11823,8,0,0,101,1157,58,3918,36,4904
4058,4749,43,1694,24,62,6328,3312,2048,45,633,2157,1082,909,591,308,584,230,263,431,6950,15,2231,449,0,0,9031
2470,7562,568,1123,169,420,6448,1269,0,0,1702,2195,0,1780,2780,4796,19,3130,345,0,0,208,2713,720,1147,110,8172
4849,10503,190,1959,42,718,5777,1658,636,284,817,6765,1604,166,3073,2403,564,4798,5,364,5256,18,604,205,593,620,10735
6500,10607,84,1923,23,1114,7844,1238,2117,242,1203,6891,1889,200,1395,1198,400,1805,9,551,5909,41,1538,237,0,0,10341
825,13848,257,3256,962,27,1959,330,3103,6,3566,7289,1984,185,1009,979,1017,776,1,388,6431,789,3497,109,0,0,14862
5757,13617,225,2151,122,205,3856,369,0,139,1424,1257,0,92,4180,3469,7,5052,54,0,0,296,2006,1576,1441,131,5806
1422,6181,2,977,12,2544,4069,1647,1496,1053,2657,2610,2899,283,358,656,230,1723,0,314,4696,1,298,398,0,0,6986
16,79142,61,1282,48,255,3744,96,380,170,113,781,1492,163,583,1361,994,7,9,30,1715,36,1263,8,0,0,2355
232,4256,1,1264,41,318,2737,1620,2132,355,1072,1815,1302,1,399,511,151,443,0,116,4942,20,152,1010,0,0,9504
3478,7581,28,2420,43,789,5253,577,3254,944,1738,3782,1347,236,940,383,677,240,722,904,8131,102,1806,132,0,0,12261
3116,19833,129,3095,154,73,7212,828,0,2,3802,1789,0,67,5400,5066,43,2652,3,0,0,173,1746,81,676,227,6003
1265,21103,57,1896,107,93,5054,1957,5595,11,2424,5751,1012,183,456,714,788,985,48,1097,11470,407,4242,123,0,0,13849
2871,18363,302,1657,343,261,3368,309,2082,19,2881,4991,1774,396,5685,2088,617,4508,0,1640,9153,808,1359,11,1495,96,11042
1203,40499,9,2294,125,11,2495,184,815,957,2246,2361,1032,51,305,679,728,700,249,209,3168,1217,11291,5,0,0,4757
16,9353,830,967,7,1355,2750,64,5273,706,224,815,2128,4,627,479,134,2729,1,1500,7281,13,533,32,0,0,17891
3378,4266,422,908,14,98,1308,1060,1055,83,828,548,812,7,299,202,165,907,1,597,3930,9,342,38,0,0,6022
4450,6397,241,1088,204,1798,5352,1525,1740,185,1645,3559,1570,74,1823,867,786,1652,5,1017,9064,23,429,739,0,0,11444
1048,6957,260,1985,12,3212,4895,803,495,1902,663,2371,2620,15,2413,4585,2758,2725,0,3376,6846,14,1209,2422,790,1009,8059
3692,15408,386,2150,131,423,3173,659,959,31,2427,6455,914,11,9455,1958,910,3595,35,114,6461,517,995,69,730,308,13949
566,10073,62,3753,125,265,4109,943,1317,160,2472,6675,2838,7,1507,2828,178,1255,7255,391,7571,664,2714,92,0,0,14667
604,15264,176,1313,200,77,4002,345,744,194,4223,5355,2977,33,4355,2028,455,5482,0,192,3623,3125,2645,29,970,350,8420
2678,9803,67,2654,268,2755,4617,125,0,12,1237,2802,0,108,4395,2713,65,4659,1,0,0,116,1637,7,1153,320,5380
1773,21540,45,718,164,233,2761,143,3697,394,2427,722,1754,21,331,154,170,1960,0,61,2860,1700,511,20,0,0,5403
4389,9096,68,682,28,7323,8770,209,1646,1267,190,1295,7955,42,809,146,992,1023,2,61,3308,8,2567,40,0,0,5623
318,19634,8,513,98,15,1498,59,717,712,2736,2382,955,0,8999,1233,282,3348,0,69,2279,2062,414,47,327,36,3824
6218,20989,92,3723,562,370,15610,3156,3873,1463,3862,8889,1627,1149,2022,1630,1913,3735,3,2096,16808,774,1144,1312,0,0,27510
80,16886,1866,2545,1344,116,8570,1782,1202,42,6409,7170,3470,440,5499,2674,1600,1831,4929,3181,13956,1904,8196,726,8535,251,30310
13149,34440,266,2660,157,157,15222,1215,0,0,4496,2769,0,391,7440,10388,49,12553,7,0,0,458,3625,104,2008,1360,12921
3266,16660,73,604,8,5900,4951,902,2457,1098,296,2924,5629,2508,4455,4615,165,8179,0,91,6266,1,907,132,1964,33,7980
10225,36062,9,2282,406,138,5430,1806,9461,126,9271,5375,3411,519,1062,1387,373,1599,7,2151,22500,707,1930,109,0,0,22864
3492,21902,209,4175,55,152,4700,2212,1181,35,5938,7943,1393,346,7497,2237,941,4207,5,1360,13524,664,1373,210,1448,354,21180
9624,38134,813,2738,60,240,9209,1912,7477,199,5777,3375,2664,201,2390,306,639,5798,1,3495,18668,29,1651,248,0,0,24178
5926,17453,393,3393,451,188,12268,1284,3273,19,10181,6472,3707,334,8138,2384,721,6015,8,2059,15353,1167,4697,667,1408,226,18544
1886,6124,194,585,40,37,1539,307,0,1,472,542,0,155,1157,1384,36,2487,4,0,0,309,917,21,389,38,2015
3843,15308,1065,400,15,1427,8805,797,0,9,655,1702,0,27,5883,5071,21,5295,0,0,0,14,855,80,2024,255,7569
7127,37587,349,3482,33,7840,8754,1741,4111,367,1759,3961,10520,501,17084,9256,2264,11220,64,2287,16316,104,466,79,1721,98,34009
5908,19304,672,3105,970,154,7778,563,4353,1489,6638,14629,2915,818,1238,5192,2010,808,39,1953,13517,272,3611,168,0,0,19830
3568,9302,753,3425,11,2467,4635,716,1049,1620,323,4259,2727,2312,3345,633,179,3474,41,914,9416,11,550,42,932,45,11360
16573,18368,431,376,54,2420,4973,127,461,970,259,836,2542,3124,2932,1518,452,14932,10,194,6131,41,590,101,354,95,7631
4947,55455,164,2011,519,78,5500,1846,2248,68,5414,7527,4325,199,2498,1847,378,5666,53,208,16095,2003,2849,201,0,0,15460
631,25684,323,3690,988,403,11626,2461,0,1,3829,1854,0,608,6454,8133,72,1711,3280,0,0,403,1246,482,1944,2274,13560
19994,25081,289,5515,373,298,7527,676,0,63,3501,5404,0,34,7414,4807,224,12699,1,0,0,2549,3352,68,697,428,10313
665,22236,160,820,7,158,2046,200,480,38,1797,1615,1085,3,9206,835,309,6668,4,87,6389,262,1310,69,1010,162,9815
151,11674,1646,1118,60,304,2977,4696,390,91,1417,6185,1052,12,6374,908,620,1968,68,658,8368,3,2384,229,637,236,14315
2601,13420,1160,2609,165,176,5739,312,1286,106,2661,5087,2280,182,5723,2697,185,4561,12,142,5220,1842,590,140,1332,426,8639
53,8919,401,1290,167,156,3935,979,1928,33,2369,4577,2861,86,1767,1807,390,434,3005,702,6081,315,626,170,604,745,12239
4988,15425,1177,2800,44,141,4276,1710,4066,25,821,7495,2523,88,5638,2111,1284,10218,0,383,8263,123,3589,138,1432,516,23594
