"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Dorea","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Peptococcus","Prevotella","Propionibacterium","Reinekea","Riemerella","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
3692,15408,386,2150,131,423,3173,659,959,36,31,2427,6455,914,11,9455,1958,910,3595,62,35,114,6461,19,517,995,69,730,308,13832
566,10073,62,3753,125,265,4109,943,1317,19,160,2472,6675,2838,7,1507,2828,178,1255,27,7255,391,7571,813,664,2714,92,0,0,13808
604,15264,176,1313,200,77,4002,345,744,109,194,4223,5355,2977,33,4355,2028,455,5482,0,0,192,3623,0,3125,2645,29,970,350,8311
2678,9803,67,2654,268,2755,4617,125,0,248,12,1237,2802,0,108,4395,2713,65,4659,0,1,0,0,0,116,1637,7,1153,320,5132
1773,21540,45,718,164,233,2761,143,3697,48,394,2427,722,1754,21,331,154,170,1960,0,0,61,2860,0,1700,511,20,0,0,5355
4389,9096,68,682,28,7323,8770,209,1646,10,1267,190,1295,7955,42,809,146,992,1023,0,2,61,3308,0,8,2567,40,0,0,5613
318,19634,8,513,98,15,1498,59,717,61,712,2736,2382,955,0,8999,1233,282,3348,0,0,69,2279,0,2062,414,47,327,36,3763
6218,20989,92,3723,562,370,15610,3156,3873,9,1463,3862,8889,1627,1149,2022,1630,1913,3735,761,3,2096,16808,0,774,1144,1312,0,0,26740
80,16886,1866,2545,1344,116,8570,1782,1202,264,42,6409,7170,3470,440,5499,2674,1600,1831,2603,4929,3181,13956,1592,1904,8196,726,8535,251,25851
13149,34440,266,2660,157,157,15222,1215,0,372,0,4496,2769,0,391,7440,10388,49,12553,2,7,0,0,0,458,3625,104,2008,1360,12547
3266,16660,73,604,8,5900,4951,902,2457,21,1098,296,2924,5629,2508,4455,4615,165,8179,8,0,91,6266,0,1,907,132,1964,33,7951
10225,36062,9,2282,406,138,5430,1806,9461,81,126,9271,5375,3411,519,1062,1387,373,1599,1030,7,2151,22500,0,707,1930,109,0,0,21753
3492,21902,209,4175,55,152,4700,2212,1181,340,35,5938,7943,1393,346,7497,2237,941,4207,458,5,1360,13524,5,664,1373,210,1448,354,20377
