"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Bifidobacterium longum","Blautia coccoides","Blautia hansenii","Blautia hydrogenotrophica","Blautia sp. Ser8","Butyrivibrio fibrisolvens","Caloramator fervidus","Clostridium botulinum","Clostridium leptum","Clostridium polysaccharolyticum","Clostridium scindens","Clostridium sp. enrichment culture clone 7-25","Clostridium xylanolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Eubacterium coprostanoligenes","Eubacterium eligens","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospira multipara","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Listeria monocytogenes","Listeria seeligeri","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Roseburia faecis","Ruminococcus albus","Ruminococcus bromii","Ruminococcus gnavus","Ruminococcus torques","Selenomonas ruminantium","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","Bacteroides sp. WA1","all_others"
10827,8810,1637,585,2376,1,45,5229,734,87,26,1790,241,157,48,1312,221,145,158,298,91,2250,2142,81,139,201,353,8978,1798,5920,47,2150,569,1176,482,270,530,521,5810,3535,191,10987,154,224,594,28,30,38,1833,247,528,255,14357
4916,456,1225,311,2479,630,109,5093,97,72,9,1494,151,14,90,405,28,501,114,33,41,235,112,21,8,28,49,2677,1359,6902,11,1594,249,451,350,176,63,377,5411,1495,120,4063,0,202,349,23,68,85,642,41,189,1586,7734
1751,660,2396,849,4522,217,185,7916,131,178,58,1179,708,293,57,151,87,422,453,69,137,723,301,425,95,362,681,4561,1148,7521,78,1398,2613,440,424,145,313,2503,2041,7399,1811,6993,24,983,103,94,232,37,1281,247,498,10,18814
1579,1198,2385,512,8567,2,17,5830,941,179,179,1820,1968,83,271,733,510,747,564,1830,588,694,343,0,34,1130,448,7899,2248,13120,237,2683,1274,703,235,286,218,2,1552,7949,130,12124,265,15,567,224,1340,21,1328,284,342,529,17483
876,784,1561,2,2372,389,213,5376,260,400,170,999,993,153,413,194,64,412,495,348,445,713,1240,292,31,310,572,8080,1137,4308,671,1405,139,1324,70,409,263,488,1371,9179,149,8722,79,621,328,130,445,102,1113,1776,3405,0,19767
640,374,336,54,2159,193,10,6993,127,7,59,1227,239,30,31,146,50,128,51,332,89,276,267,48,27,353,108,923,581,2367,32,1283,66,289,74,24,537,0,887,3602,353,3195,54,11,45,5,60,10,552,624,743,24,6726
3104,1087,2191,878,5256,1268,827,2295,164,24,9,966,111,95,71,135,18,505,318,91,24,519,922,69,17,1914,111,2451,1262,5049,52,1091,472,883,786,94,904,2653,2875,3479,1913,6878,91,21,1074,253,4,14,1003,96,93,86,9735
4922,2224,7592,517,1936,457,3126,7875,664,36,465,1351,875,461,51,370,20,468,778,308,270,540,845,53,4,136,1892,2614,2440,13958,81,1586,1247,1074,1239,160,485,0,10149,3378,260,5977,44,134,2627,474,184,143,859,1068,1624,74,11553
2134,1783,1934,59,1596,250,143,5565,305,27,9,2965,68,475,194,875,131,319,262,49,18,703,409,3,27,288,4,4576,1699,3179,27,2988,360,360,166,19,674,659,2479,1762,762,6726,4,507,1289,89,38,36,1019,79,526,486,9159
725,295,1203,0,1466,71,20,3765,37,31,35,1718,100,91,4252,615,101,895,771,409,16,575,466,180,12,189,6,2657,3361,4061,1,1788,30,306,48,374,145,5,709,5149,1520,7051,0,15,521,46,17,305,626,176,338,79,11705
2423,1109,3545,24,2507,8,1840,3461,300,367,40,416,814,323,2722,1449,1365,253,310,318,250,308,697,11,27,769,40,4879,3766,6983,51,819,373,794,178,565,718,1353,2218,5536,596,6891,55,102,39,61,151,355,1264,292,1149,72,13195
3608,503,964,1600,3567,7,45,3103,359,6,5,299,18,47,607,558,9,12,270,14,52,87,12,0,63,23,22,1479,569,3596,29,333,224,82,13,22,0,2047,6139,557,76,668,1,0,1266,327,52,8,911,1,330,938,1388
335,142,1924,131,1746,60,302,5888,268,115,244,288,446,50,2762,428,37,175,265,14,74,1346,331,9,385,204,36,2829,2041,4179,54,129,192,1308,109,189,466,237,520,2810,1102,5070,60,262,28,254,101,137,537,31,416,275,10560
1735,1072,3130,34,1535,2,1020,3431,177,28,70,1140,193,29,152,1549,22,473,194,14,12,1305,833,55,11,90,34,3729,2171,5688,11,1133,183,763,206,138,363,104,3473,2107,678,4912,0,110,1222,111,35,160,376,68,162,779,6774
788,675,613,66,1069,20,165,1589,318,432,27,491,623,95,364,192,136,273,45,61,327,762,851,8,888,160,261,2436,1217,1587,30,565,484,1620,159,372,113,1,797,3175,149,5410,244,110,273,34,110,410,303,285,4269,3,6016
496,122,1266,0,3910,86,19,5849,435,99,182,2001,466,78,85,251,306,1148,240,212,139,911,1164,644,116,1071,363,6005,1303,4072,88,2234,599,1325,172,325,500,470,611,6600,1090,9079,15,86,241,286,92,910,1754,207,688,29,14441
15,3,2172,1639,3852,6,417,12079,374,395,308,0,870,27,29,89,54,0,95,79,174,134,1050,102,33,89,1465,7788,1177,13603,130,56,1014,458,54,122,389,0,219,852,22,3925,575,44,0,37,365,0,623,45,1872,555,15526
2416,1400,4058,164,1641,164,71,12835,239,377,356,695,1260,362,778,112,142,404,418,246,1185,266,1335,1198,190,1573,401,6201,1326,8975,401,1009,335,2750,71,231,300,549,2912,4774,612,8890,256,183,16,38,389,1124,1989,274,410,630,12250
7885,5162,2388,176,2416,221,919,5638,122,158,8,1482,436,67,1552,919,118,725,1802,109,196,186,580,655,3,1106,96,4692,1503,5596,63,1117,775,1111,268,268,664,20,4112,3336,378,5264,29,85,381,1295,179,264,1021,117,1481,408,7079
